"Date","Prefecture","NewlyConfirmedCases","NumberOfDeaths","SevereCases"
2020-02-03,"Kumamoto",0,NA,NA
2020-02-03,"Kyoto",0,NA,NA
2020-02-03,"Mie",0,NA,NA
2020-02-03,"Miyagi",0,NA,NA
2020-02-03,"Miyazaki",0,NA,NA
2020-02-03,"Nagano",0,NA,NA
2020-02-03,"Nagasaki",0,NA,NA
2020-02-03,"Nara",0,NA,NA
2020-02-03,"Niigata",0,NA,NA
2020-02-03,"Oita",0,NA,NA
2020-02-03,"Okayama",0,NA,NA
2020-02-03,"Okinawa",0,NA,NA
2020-02-03,"Osaka",0,NA,NA
2020-02-03,"Saga",0,NA,NA
2020-02-03,"Saitama",0,NA,NA
2020-02-03,"Shiga",0,NA,NA
2020-02-03,"Shimane",0,NA,NA
2020-02-03,"Shizuoka",0,NA,NA
2020-02-03,"Tochigi",0,NA,NA
2020-02-03,"Tokushima",0,NA,NA
2020-02-03,"Tokyo",0,NA,NA
2020-02-03,"Tottori",0,NA,NA
2020-02-03,"Toyama",0,NA,NA
2020-02-03,"Wakayama",0,NA,NA
2020-02-03,"Yamagata",0,NA,NA
2020-02-03,"Yamaguchi",0,NA,NA
2020-02-03,"Yamanashi",0,NA,NA
2020-02-04,"Aichi",0,NA,NA
2020-02-04,"Akita",0,NA,NA
2020-02-04,"Aomori",0,NA,NA
2020-02-04,"Chiba",1,NA,NA
2020-02-04,"Ehime",0,NA,NA
2020-02-04,"Fukui",0,NA,NA
2020-02-04,"Fukuoka",0,NA,NA
2020-02-04,"Fukushima",0,NA,NA
2020-02-04,"Gifu",0,NA,NA
2020-02-04,"Gunma",0,NA,NA
2020-02-04,"Hiroshima",0,NA,NA
2020-02-04,"Hokkaido",0,NA,NA
2020-02-04,"Hyogo",0,NA,NA
2020-02-04,"Ibaraki",0,NA,NA
2020-02-04,"Ishikawa",0,NA,NA
2020-02-04,"Iwate",0,NA,NA
2020-02-04,"Kagawa",0,NA,NA
2020-02-04,"Kagoshima",0,NA,NA
2020-02-04,"Kanagawa",0,NA,NA
2020-02-04,"Kochi",0,NA,NA
